Name_year_,ShortedName_year_
"Miguel and Kremer (2004)",Miguel and Kremer (2004)
"Donnen et al. (1998)",Donnen et al. (1998)
"Kruger et al. (1996)",Kruger et al. (1996)
"Awasthi, Pande and Fletcher (2000)",Awasthi et al. (2000)
"Dossa and Ategbo (2001)",Dossa and Ategbo (2001)
"Dossa and Ategbo (2001)",Dossa and Ategbo (2001)
"Ndibazza et al. (2012)",Ndibazza et al. (2012)
"Gupta and Urrutia (1982)",Gupta and Urrutia (1982)
"Liu et al. (2016)",Liu et al. (2016)
"Joseph et al. (2015)",Joseph et al. (2015)
"Hall et al. (2006)",Hall et al. (2006)
"Watkins, Cruz and Pollitt (1996)",Watkins et al. (1996)
"Gupta and Urrutia (1982)",Gupta and Urrutia (1982)
"Alderman et al. (2006)",Alderman et al. (2006)
"Willett, Kilama and Kihamia (1979)",Willett et al. (1979)
"Awasthi and Pande (2001)",Awasthi and Pande (2001)
"Wiria et al. (2013)",Wiria et al. (2013)
"Sur et al. (2005)",Sur et al. (2005)
"Gateff, Lemarinier and Labusquiere (1972)",Gateff et al. (1972)
"Ostwald et al. (1984)",Ostwald et al. (1984)
"Stephenson et al. (1993)",Stephenson et al. (1993)
"Awasthi et al. (2008)",Awasthi et al. (2008)
